epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,260.123,0.66711,0.41512,0.96497,0.98286,0.98887,0.98411,0.80411,0.75128,0.33595,0.9397,0.0008614,0.0008614,0.0008614
72,263.782,0.67356,0.41005,0.96722,0.98481,0.98944,0.98491,0.81066,0.74804,0.32777,0.93655,0.00085942,0.00085942,0.00085942
73,267.277,0.67602,0.42093,0.96708,0.98389,0.98857,0.98373,0.81706,0.72551,0.32639,0.92891,0.00085744,0.00085744,0.00085744
74,270.894,0.66637,0.42047,0.96453,0.9838,0.99002,0.98366,0.81725,0.70277,0.32538,0.92131,0.00085546,0.00085546,0.00085546
75,274.481,0.65744,0.40722,0.95239,0.98276,0.98964,0.98095,0.80259,0.76748,0.33662,0.94548,0.00085348,0.00085348,0.00085348
76,278.245,0.65301,0.40676,0.95717,0.9842,0.98783,0.9833,0.80783,0.74797,0.33393,0.93863,0.0008515,0.0008515,0.0008515
77,281.957,0.65731,0.40313,0.96527,0.98498,0.98939,0.98659,0.80894,0.74278,0.32809,0.93955,0.00084952,0.00084952,0.00084952
78,285.846,0.66546,0.40544,0.96288,0.98434,0.98783,0.98372,0.80689,0.75213,0.33463,0.94394,0.00084754,0.00084754,0.00084754
79,289.66,0.6588,0.41284,0.96099,0.98445,0.9886,0.98372,0.80318,0.74582,0.32779,0.94165,0.00084556,0.00084556,0.00084556
80,293.469,0.65795,0.41044,0.96045,0.9835,0.98749,0.98539,0.81433,0.72664,0.32698,0.93471,0.00084358,0.00084358,0.00084358
